1-0;10-11;10-9;12-11;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9,29->13->5->13->39->39->50->13->46->57->57->17,351852
1-0;10-11;11-12;2-1;2-3;3-4;5-4;6-5;7-6;7-8;9-10;9-8,21->54->54->5->5->57->57->12->58->58->2->2,460964
0-1;11-10;12-11;2-1;3-2;3-4;5-4;5-6;6-7;8-7;9-10;9-8,9->13->54->9->35->13->13->22->57->57->21->13,107500
0-1;10-11;10-9;11-12;2-1;2-3;3-4;5-4;5-6;7-6;8-7;8-9,0->35->35->31->1->46->50->36->3->0->31->31,5433
0-1;11-10;11-12;2-1;2-3;3-4;5-4;5-6;7-6;7-8;9-10;9-8,0->2->2->3->58->23->23->54->17->23->2->2,17
1-0;1-2;10-9;11-10;12-11;3-2;4-3;4-5;6-5;6-7;8-7;8-9,2->2->47->29->36->17->13->22->13->13->22->36,51
0-1;1-2;10-11;10-9;12-11;3-2;4-3;4-5;5-6;7-6;8-7;8-9,65->1->23->54->22->0->2->2->57->57->12->54,2035
1-0;10-9;11-10;11-12;2-1;3-2;3-4;4-5;6-5;6-7;8-7;8-9,21->57->22->5->23->17->46->0->0->8->27->57,582574
0-1;10-9;11-10;11-12;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9,1->17->2->2->0->35->36->5->5->5->21->5,846674
1-0;1-2;10-11;10-9;12-11;3-2;3-4;5-4;5-6;7-6;8-7;8-9,36->55->37->37->37->36->36->36->51->51->44->55,476072
1-0;1-2;10-11;12-11;3-2;3-4;5-4;5-6;7-6;7-8;9-10;9-8,23->36->5->46->50->36->39->5->5->39->54->55,522015
0-1;10-11;10-9;12-11;2-1;2-3;4-3;5-4;5-6;6-7;8-7;8-9,17->22->50->46->17->0->0->2->2->17->21->50,4324
1-0;1-2;11-10;12-11;3-2;3-4;5-4;5-6;6-7;8-7;9-10;9-8,2->2->2->6->2->2->2->2->0->0->2->2,17
0-1;10-11;10-9;12-11;2-1;2-3;3-4;5-4;5-6;7-6;7-8;9-8,1->36->54->53->0->17->17->5->21->17->17->5,10
1-0;1-2;10-11;10-9;12-11;3-2;3-4;5-4;5-6;7-6;8-7;8-9,2->2->35->5->35->2->2->17->17->46->17->17,1615
0-1;1-2;10-9;11-10;11-12;3-2;3-4;4-5;6-5;6-7;8-7;8-9,17->46->36->58->17->17->17->25->25->3->1->36,193267
0-1;11-10;11-12;2-1;3-2;3-4;5-4;5-6;7-6;8-7;8-9;9-10,0->21->13->3->58->36->31->31->50->54->54->5,505665
1-0;1-2;11-10;11-12;2-3;4-3;4-5;6-5;6-7;8-7;9-10;9-8,2->2->23->36->0->3->54->54->12->17->23->12,328343
0-1;10-9;11-10;11-12;2-1;2-3;4-3;5-4;5-6;7-6;7-8;8-9,0->3->46->5->1->0->0->2->2->2->2->0,4257
1-0;1-2;10-11;10-9;12-11;3-2;3-4;5-4;5-6;7-6;7-8;8-9,2->2->5->54->5->2->2->2->2->2->2->21,47
0-1;10-11;12-11;2-1;2-3;4-3;4-5;6-5;6-7;7-8;9-10;9-8,26->46->46->8->12->12->5->5->54->35->46->50,12
0-1;11-10;11-12;2-1;3-2;3-4;4-5;6-5;7-6;7-8;9-10;9-8,11->17->17->8->2->2->0->0->22->5->23->22,83
0-1;11-10;11-12;2-1;2-3;4-3;5-4;5-6;7-6;8-7;9-10;9-8,0->50->4->3->1->0->17->17->12->54->36->54,1357
0-1;10-11;10-9;11-12;2-1;2-3;4-3;5-4;5-6;7-6;8-7;8-9,31->2->2->58->49->29->29->53->3->0->2->2,122
0-1;10-11;10-9;11-12;2-1;3-2;4-3;5-4;5-6;6-7;8-7;8-9,0->17->36->17->1->17->4->46->46->36->36->36,1343
1-0;1-2;11-10;11-12;3-2;3-4;5-4;6-5;6-7;7-8;9-10;9-8,5->21->0->31->5->5->21->58->54->3->0->0,990
0-1;10-11;10-9;12-11;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9,21->25->39->25->5->5->5->5->51->36->36->36,331968
0-1;10-11;12-11;2-1;2-3;4-3;5-4;6-5;7-6;7-8;9-10;9-8,0->57->57->20->20->0->17->17->17->17->5->5,112
1-0;1-2;10-9;11-10;12-11;2-3;4-3;5-4;5-6;7-6;7-8;8-9,2->2->57->5->54->37->57->21->23->22->22->57,146038
1-0;1-2;11-10;11-12;3-2;3-4;4-5;6-5;7-6;7-8;9-10;9-8,2->2->2->2->21->5->5->21->2->2->2->2,167
1-0;11-10;11-12;2-1;3-2;3-4;5-4;6-5;7-6;7-8;9-10;9-8,17->36->0->21->54->13->5->54->54->54->36->58,102
1-0;1-2;11-10;12-11;3-2;4-3;4-5;5-6;7-6;7-8;9-10;9-8,2->2->5->37->36->17->17->36->36->5->5->21,362
0-1;10-11;10-9;12-11;2-1;2-3;3-4;5-4;6-5;7-6;7-8;9-8,5->5->5->2->17->17->46->17->46->46->46->17,49011
1-0;1-2;10-9;11-10;11-12;2-3;4-3;5-4;5-6;7-6;7-8;8-9,2->2->32->17->58->40->62->2->2->2->2->50,1
1-0;1-2;10-11;10-9;12-11;2-3;4-3;4-5;6-5;6-7;8-7;8-9,2->2->13->23->5->35->55->36->36->13->21->21,28900
1-0;1-2;10-9;11-10;12-11;2-3;4-3;4-5;6-5;6-7;8-7;9-8,2->2->58->17->46->1->0->45->45->8->25->46,14661
1-0;1-2;10-11;10-9;12-11;3-2;3-4;5-4;5-6;6-7;7-8;8-9,5->39->23->50->5->50->22->13->54->54->54->35,30558
1-0;1-2;11-10;11-12;2-3;4-3;4-5;5-6;7-6;7-8;9-10;9-8,2->2->2->2->17->5->5->17->21->21->58->5,73776
1-0;1-2;10-11;12-11;3-2;3-4;4-5;6-5;6-7;8-7;9-10;9-8,2->2->63->11->2->2->0->52->0->0->2->2,11605
1-0;1-2;11-10;11-12;3-2;3-4;4-5;6-5;6-7;7-8;9-10;9-8,2->2->5->5->2->2->36->36->17->5->2->2,67664
