0-2;1-5;3-1;3-2;4-0;5-4;6-0;7-1;7-6,62->17->5->62->17->17->17->17->17,94
0-2;0-4;0-6;1-3;1-5;1-7;3-2;5-4;7-6,17->17->62->17->17->17->17->17->62,8
1-5;1-7;2-0;3-1;3-2;4-0;5-4;6-0;6-7,17->46->17->17->17->17->46->46->17,54
0-2;0-6;1-3;1-5;1-7;3-2;4-0;4-5;7-6,17->17->5->21->5->17->17->17->17,3543
0-2;0-4;1-7;3-1;3-2;4-5;5-1;6-0;6-7,36->17->31->36->36->46->36->46->35,5
0-2;1-3;1-5;1-7;3-2;4-0;4-5;6-0;6-7,0->22->5->5->0->2->2->2->2,2447
0-4;0-6;1-3;1-7;2-0;2-3;5-1;5-4;6-7,17->17->17->17->5->5->21->5->17,136
0-2;0-4;1-3;1-5;1-7;2-3;4-5;6-0;7-6,17->17->5->37->5->17->46->46->17,4
0-2;0-4;0-6;1-5;1-7;3-1;3-2;5-4;7-6,23->23->23->54->54->54->23->23->23,642202
2-0;3-1;3-2;4-0;5-1;5-4;6-0;7-1;7-6,29->36->36->29->36->36->29->35->55,98849
1-7;2-0;2-3;3-1;4-0;5-1;5-4;6-0;6-7,17->21->21->17->17->21->5->21->5,11634
0-2;3-1;3-2;4-0;4-5;5-1;6-0;6-7;7-1,0->57->0->2->2->57->2->2->57,61476
0-2;0-4;0-6;1-3;1-7;2-3;5-1;5-4;6-7,54->22->54->5->5->22->54->13->21,1
1-3;1-5;2-0;3-2;4-0;5-4;6-0;6-7;7-1,46->46->17->17->46->17->46->46->17,218
0-4;0-6;1-5;2-0;3-1;3-2;4-5;7-1;7-6,17->17->17->17->5->5->17->5->5,18933
0-6;1-3;1-5;1-7;2-0;2-3;4-0;4-5;7-6,57->12->13->12->21->12->21->13->57,22597
0-6;1-3;1-5;1-7;2-0;2-3;4-0;4-5;7-6,1->5->5->5->2->2->2->2->0,18
1-3;1-5;1-7;2-0;2-3;4-0;5-4;6-0;7-6,46->46->46->46->17->46->46->46->17,330
1-5;2-0;3-1;3-2;4-0;4-5;6-0;7-1;7-6,4->35->4->17->35->17->35->4->4,4
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,22->22->0->23->5->23->22->23->1,432
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,23->23->23->55->23->32->23->55->23,16318
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,50->35->50->50->36->35->55->50->36,5147
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,32->32->48->50->36->36->35->36->48,3266
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,36->35->36->47->47->50->37->36->36,100725
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,22->22->5->21->22->22->13->21->5,8482
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,3->25->25->31->0->35->25->36->8,21
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,31->31->31->31->31->36->53->36->36,382182
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,5->5->5->21->5->5->5->21->22,885061
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,36->55->35->55->50->50->50->47->47,3508
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,17->17->17->5->5->5->5->5->5,199
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,39->39->5->5->36->5->39->5->5,256
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,23->23->23->36->35->39->39->31->31,35326
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,5->5->5->22->21->22->21->22->22,22663
0-2;0-4;0-6;3-1;3-2;5-1;5-4;7-1;7-6,50->36->50->23->35->23->36->23->36,18134
